,Tag,Url,Claps
55,Tag_artificial-intelligence,https://medium.com/@francois.chollet/the-impossibility-of-intelligence-explosion-5be4a9eda6ec,35000.0
56,Tag_artificial-intelligence,https://hackernoon.com/how-i-started-with-learning-ai-in-the-last-2-months-251d19b23597,27000.0
57,Tag_artificial-intelligence,https://medium.com/ai%C2%B3-theory-practice-business/understanding-hintons-capsule-networks-part-i-intuition-b4b559d1159b,25000.0
58,Tag_artificial-intelligence,https://towardsdatascience.com/how-to-build-your-own-neural-network-from-scratch-in-python-68998a08e4f6,22000.0
59,Tag_artificial-intelligence,https://medium.com/@LanceUlanoff/did-google-duplex-just-pass-the-turing-test-ffcfe6868b02,19600.0
60,Tag_big-data,https://blog.timescale.com/why-sql-beating-nosql-what-this-means-for-future-of-data-time-series-database-348b777b847a,26000.0
61,Tag_big-data,https://blog.signals.network/signals-new-partnership-with-foxconn-s-data-center-safedx-90371c95ec8a,8400.0
62,Tag_big-data,https://medium.com/senno/its-time-to-learn-what-sentiment-analysis-can-do-for-you-57f98a92f787,7800.0
63,Tag_big-data,https://medium.com/netflix-techblog/growth-engineering-at-netflix-accelerating-innovation-90eb8e70ce59,5800.0
64,Tag_big-data,https://medium.com/@rchang/a-beginners-guide-to-data-engineering-part-ii-47c4e7cbda71,5700.0
65,Tag_big-data,https://medium.com/strava-engineering/the-global-heatmap-now-6x-hotter-23fc01d301de,5000.0
66,Tag_big-data,https://medium.com/netflix-techblog/using-machine-learning-to-improve-streaming-quality-at-netflix-9651263ef09f,4990.0
67,Tag_big-data,https://medium.com/@vojkoprase/discover-apex-a7823bc00a8,3300.0
68,Tag_big-data,https://wearecitizensadvice.org.uk/markets-dont-work-like-they-used-to-and-people-are-starting-to-notice-af00ed38014d,3100.0
69,Tag_big-data,https://hackernoon.com/big-brother-meets-black-mirror-in-the-middle-kingdom-3febe4574467,2800.0
70,Tag_bitcoin,https://medium.com/superbloom/superbloom-newsletter-may-4-2018-c5b850b85e39,91000.0
71,Tag_bitcoin,https://hackernoon.com/learn-blockchains-by-building-one-117428612f46,69000.0
72,Tag_bitcoin,https://decentralize.today/dont-fall-for-the-hype-why-bitcoin-s-10-000-price-doesn-t-reflect-its-true-value-6b42a59fce0a,60000.0
73,Tag_bitcoin,https://medium.com/opacity/bitcoin-1537e616a074,57000.0
74,Tag_bitcoin,https://blog.chain.com/a-letter-to-jamie-dimon-de89d417cb80,56000.0
75,Tag_bitcoin,https://medium.com/s/story/why-decentralization-matters-5e3f79f7638e,53000.0
76,Tag_bitcoin,https://hackernoon.com/ten-years-in-nobody-has-come-up-with-a-use-case-for-blockchain-ee98c180100,52000.0
77,Tag_bitcoin,https://medium.com/@theanythingapp/how-to-sign-up-for-the-anything-app-portal-547841d3789,46000.0
78,Tag_bitcoin,https://hackernoon.com/what-will-bitcoin-look-like-in-twenty-years-7e75481a798c,44000.0
79,Tag_bitcoin,https://hackernoon.com/mastering-shitcoins-the-poor-mans-guide-to-getting-crypto-rich-2e469b762ba9,39000.0
80,Tag_blacklivesmatter,https://medium.com/blacklivesmatter/soul-snatchers-how-the-nypds-42nd-precinct-the-bronx-da-s-office-and-the-city-of-new-york-7454a5a43924,39000.0
81,Tag_blacklivesmatter,https://midcenturymodernmag.com/these-magic-kids-1aefbbeb81cd,28000.0
82,Tag_blacklivesmatter,https://medium.com/@ShaunKing/you-dont-really-know-who-bernie-sanders-was-in-the-1960s-79628016125f,27000.0
83,Tag_blacklivesmatter,https://medium.com/@IjeomaOluo/how-non-black-people-can-talk-about-kanye-while-staying-in-their-lane-cb34b05fc84e,26000.0
84,Tag_blacklivesmatter,https://medium.com/@ShaunKing/soul-snatchers-part-two-the-bronx-terrorist-detective-david-terrell-38be8bc35995,22000.0
85,Tag_blacklivesmatter,https://medium.com/@mwendekatwiwa/i-was-invited-to-give-a-ted-talk-then-asked-to-cut-black-lives-matter-from-it-c37b73633a9d,21000.0
86,Tag_blacklivesmatter,https://medium.com/@DeepGreenPhilly/withering-under-the-white-gaze-the-hart-family-tragedy-bb02416bb0ad,20000.0
87,Tag_blacklivesmatter,https://medium.com/s/story/what-jay-zs-struggles-with-tidal-say-about-hip-hop-and-the-end-of-capitalism-f606703eeac2,18600.0
88,Tag_blacklivesmatter,https://medium.com/@ShaunKing/soul-snatchers-countering-the-state-sponsored-conspiracy-to-destroy-pedro-hernandez-part-3-1b6307828eb6,17800.0
89,Tag_blacklivesmatter,https://byrslf.co/to-the-white-woman-i-can-no-longer-be-friends-with-d31629437e1d,15200.0
90,Tag_blockchain,https://medium.com/@zantepay/exchange-listing-alert-zantecoin-to-be-listed-on-hotbit-1a5398292b58,106000.0
91,Tag_blockchain,https://hackernoon.com/neo-versus-ethereum-why-neo-might-be-2018s-strongest-cryptocurrency-79956138bea3,90000.0
92,Tag_blockchain,https://medium.com/@preethikasireddy/why-im-leaving-silicon-valley-72919edb3297,70000.0
93,Tag_blockchain,https://medium.com/@ShopinApp/shopin-continues-to-make-blockchain-history-partners-with-qryptos-sweeps-awards-increases-d78dd5ba066a,68000.0
94,Tag_blockchain,https://medium.com/littlephilnews/charlie-teo-wtf-whats-the-fuss-9252b5e6f547,66000.0
95,Tag_blockchain,https://medium.com/bountiestop/gemera-bounty-campaign-fd314e16217,52000.0
96,Tag_blockchain,https://medium.com/@1WorldOnline/get-your-free-1wo-tokens-cf5a3d9c442c,48000.0
97,Tag_blockchain,https://medium.com/@preethikasireddy/how-does-ethereum-work-anyway-22d1df506369,45000.0
98,Tag_blockchain,https://medium.com/workchain-io/introducing-workchain-io-the-blockchain-solution-for-the-future-of-work-89df3ba9e2ea,45000.0
99,Tag_blockchain,https://medium.com/caspian-tech/caspian-shortlisted-as-most-innovative-firm-at-hedge-fund-technology-awards-39079618e300,44000.0
100,Tag_blog,https://medium.com/@efir.io/the-struggle-of-advertising-agencies-is-real-or-why-they-dont-want-to-work-with-youtubers-def86d7ef7b1,13900.0
101,Tag_blog,https://medium.com/the-mission/my-powerful-1-hour-routine-for-quick-success-on-medium-175f40c2e6d3,12800.0
102,Tag_blog,https://medium.freecodecamp.org/every-developer-should-have-a-blog-heres-why-and-how-to-stick-with-it-5fd55a247fbf,12400.0
103,Tag_blog,https://medium.com/the-mission/50-lessons-i-learned-after-50-months-of-blogging-6603cfcd35bc,12100.0
104,Tag_blog,https://medium.com/swlh/5-quality-tips-for-growing-your-medium-page-f3305a8aaba6,6200.0
105,Tag_blog,https://medium.com/@thatshirleylee/clapping-on-medium-7d89c5e78441,6100.0
106,Tag_blog,https://medium.com/@tomkuegler/how-i-made-2-000-from-my-blog-in-24-hours-2c7856abd532,6000.0
107,Tag_blog,https://medium.com/the-mission/why-now-is-actually-the-best-time-to-become-a-blogger-860d9ce63358,5800.0
108,Tag_blog,https://medium.com/the-mission/this-is-why-i-love-medium-and-why-you-should-too-6445a6ab4a2a,5400.0
109,Tag_blog,https://medium.com/the-mission/1-simple-change-in-mindset-that-will-help-you-be-successful-as-a-blogger-even-with-0-followers-ca0c6537d65,5300.0
110,Tag_blogging,https://medium.com/@Alex.Valaitis/what-are-you-doing-medium-38c60accfae9,40000.0
111,Tag_blogging,https://medium.com/the-mission/the-4-best-ways-to-earn-income-writing-in-2018-and-the-3-worst-16b486c19774,12000.0
112,Tag_blogging,https://medium.com/words-for-life/a-100-transparent-look-at-my-first-medium-paycheck-197b69483b44,9500.0
